innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,performance
324956160,36,1,1,1820672,7574528,13608960,38912,61458432,17805312,49.93
1004339200,23,0,1,1436672,4600832,49725440,6144,125736960,41383936,49.78
522004480,20,1,1,6147072,15617024,4513792,41984,50546688,60560384,49.67
603064320,35,1,1,14252032,9681920,50504704,6144,47644672,3617792,49.63
442621952,24,0,1,11537408,2269184,56836096,4096,50872320,12811264,49.54
1072035840,15,1,1,8113152,3295232,2193408,12288,123155456,43273216,49.06
845146112,39,1,1,5805056,15450112,40804352,6144,36640768,19666944,48.8
609880064,2,1,1,4716544,13652992,58357760,25600,55398400,39739392,48.42
594125824,7,1,2,7241728,628736,66787328,14336,22173696,58529792,48.2
2186618880,34,1,1,14374912,7907328,5943296,11264,4678656,45142016,47.9
141739008,2,0,1,6394880,7871488,54257664,12288,76219392,36633600,47.88
1526291456,2,1,0,5543936,16467968,23858176,6144,107473920,66868224,47.16
824121344,4,0,0,10376192,4667392,52124672,34816,99058688,59503616,46.25
448502784,3,0,2,7667712,6577152,54533120,15360,110529536,22196224,46.17
163473408,3,1,0,16722944,891904,21550080,49152,81269760,2789376,46.03
757585920,16,0,1,14379008,1951744,31941632,6144,38167552,44897280,46.01
190205952,33,0,0,15261696,13467648,26046464,39936,95219712,51847168,45.85
2737996800,2,1,2,936960,9491456,48737280,37888,28038144,33413120,45.79
811354112,14,0,0,9879552,8797184,45869056,28672,31753216,1553408,45.56
2863168512,20,1,0,13225984,5386240,46362624,41984,40458240,21037056,45.52
2376810496,30,1,0,1320960,13146112,64693248,27648,20042752,52199424,45.3
535059456,25,0,0,7865344,10810368,48566272,31744,17766400,12802048,44.87
244043776,8,0,0,5279744,1911808,16431104,4096,96797696,50680832,44.79
3043059712,5,1,1,16726016,12907520,59482112,28672,27658240,32217088,44.55
1991386112,35,0,1,4984832,9228288,29491200,19456,18243584,53107712,44.42
524509184,3,1,2,2197504,2531328,61505536,18432,124875776,1433600,44.29
2776126464,16,1,0,14664704,12414976,42930176,47104,76097536,9608192,44.24
2533531648,23,0,1,7307264,13174784,24775680,25600,42790912,33654784,44.22
3198977024,24,0,1,3709952,15802368,3418112,22528,587776,57159680,44.1
1605549056,31,0,1,12057600,7657472,46941184,6144,55752704,30093312,44.09
2993595392,49,1,1,8570880,15414272,33551360,4096,113515520,8139776,44.01
2433378304,9,0,2,10552320,1602560,59241472,25600,96888832,2652160,44.01
1183545344,4,1,1,7220224,670720,66563072,16384,116835328,40266752,43.97
1197811712,33,1,0,5097472,863232,37670912,12288,63745024,62526464,43.88
1625968640,42,0,2,4633600,267264,2981888,5120,12522496,31876096,43.85
1228338176,4,0,1,4379648,15387648,61279232,47104,22546432,10195968,43.78
268485632,22,1,0,14874624,222208,1888256,45056,26114048,8468480,43.78
1710955520,9,1,1,16764928,2818048,43296768,27648,103829504,46901248,43.74
1785437184,3,0,1,11904000,10868736,62648320,20480,126743552,35298304,43.6
1664848896,11,1,2,10957824,16689152,42051584,48128,33918976,48324608,43.59
401765376,17,1,2,14527488,4040704,24184832,34816,22971392,28720128,43.59
2272413696,17,1,2,10867712,14708736,28029952,26624,93527040,14511104,43.56
2006679552,43,0,1,1531904,1894400,32856064,41984,6502400,50700288,43.52
960302080,38,1,2,3297280,3482624,983040,19456,98847744,17060864,43.52
3198502912,33,1,1,2306048,15643648,37640192,2048,22351872,30299136,43.47
1917019136,18,0,0,6395904,310272,31433728,17408,26802176,61844480,43.45
1584588800,4,0,1,13356032,10963968,14569472,35840,90126336,57706496,43.35
2083060736,14,0,1,9705472,11409408,11012096,9216,12776448,50372608,43.26
1269116928,26,0,1,8986624,7830528,11622400,7168,45540352,50254848,43.08
2536536064,27,1,1,16045056,5891072,39461888,4096,103031808,45614080,43.02
2442081280,39,0,1,14302208,10700800,3738624,19456,76191744,56508416,43
1657734144,33,0,1,6920192,9011200,14294016,0,751616,29247488,42.95
756389888,3,0,0,10004480,10989568,42802176,13312,103609344,43753472,42.94
2840509440,19,1,1,14740480,14455808,30413824,43008,102027264,2473984,42.94
2964639744,32,1,1,11551744,16066560,14785536,39936,90678272,55908352,42.94
1885639680,15,0,1,4816896,4288512,26619904,27648,45756416,13557760,42.93
2875168768,46,1,1,2851840,13858816,15296512,49152,98508800,44674048,42.84
2897177600,11,0,1,9949184,4720640,41806848,21504,40098816,28410880,42.8
2578590720,0,0,2,10791936,7616512,42259456,35840,69182464,3098624,42.79
1851912192,14,1,1,4107264,16269312,60363776,40960,33378304,19666944,42.74
1746429952,36,1,1,13373440,9702400,62625792,15360,46482432,25035776,42.73
1265517568,42,1,1,4506624,4409344,61745152,32768,13242368,14331904,42.71
2767877120,9,1,1,12261376,8199168,759808,15360,8271872,18109440,42.7
2041334784,45,1,1,10261504,3774464,3089408,25600,113993728,48965632,42.63
2414666752,40,0,1,14064640,1575936,16940032,9216,107219968,13785088,42.62
1752824832,38,1,2,988160,2956288,23365632,25600,53561344,27068416,42.6
1180108800,0,0,0,9401344,13783040,11030528,20480,15352832,2529280,42.59
2401159168,44,0,2,3886080,739328,9311232,17408,69135360,52193280,42.5
2610404352,37,1,1,7186432,13118464,51939328,37888,58393600,41811968,42.48
2713774080,33,0,1,4460544,10696704,38514688,34816,1525760,53217280,42.46
1528628224,33,0,0,7763968,3414016,40883200,49152,7267328,36284416,42.43
1146430464,17,0,2,4233216,11536384,38027264,13312,124089344,13795328,42.41
2025413632,26,0,2,5424128,13773824,27509760,26624,79082496,41458688,42.37
1866304512,4,1,1,13615104,14963712,57732096,18432,72391680,17255424,42.33
1953747968,31,1,1,4260864,6862848,43985920,23552,57589760,47659008,42.3
3181456384,26,1,1,11455488,14023680,47643648,10240,118141952,38299648,42.3
2957154304,34,1,1,844800,1561600,35405824,26624,6388736,64678912,42.29
2872643584,29,1,1,13889536,5148672,52726784,23552,37144576,31140864,42.28
1754011648,34,1,2,1283072,6230016,51361792,30720,55223296,64462848,42.27
219571200,0,0,2,2871296,15180800,64925696,16384,77649920,27097088,42.23
1558548480,25,1,0,7502848,8708096,48923648,16384,133781504,44347392,42.19
2663485440,10,0,1,3921920,5502976,5586944,35840,63932416,9394176,42.17
1120270336,35,0,1,14821376,16087040,43023360,40960,59995136,52448256,42.14
1136146432,47,1,2,11055104,5594112,56504320,41984,20042752,42930176,42.13
2291410944,33,0,1,10317824,509952,40134656,16384,16120832,30502912,42.1
